call_sign,modo
CA7GFK,FT8
CD7RLO,FT8
CE3BKN,WSPR
CE3JSX,WSPR
CE3KRM,WSPR
CE3VRT,WSPR
CE6FYN,FT8
CP6CL,FT8
CP6EE,WSPR
CP6GA,FT8
CX2DAJ,FT8
LS8Y,WSPR
LU1CBQ,FT8
LU1DLA,FT8
LU1DOW,FT8
LU1DOW,WSPR
LU1DX,FT8
LU1DZ,FT8
LU1ESY,WSPR
LU1ESY,FT8
LU1HKO,WSPR
LU1HLH,FT8
LU1HVK,WSPR
LU1IBL,WSPR
LU1KCQ,WSPR
LU1YY,WSPR
LU1ZG,WSPR
LU2AHD,FT8
LU2AMM,FT8
LU2AXF,WSPR
LU2BN,WSPR
LU2FCY,WSPR
LU2FCY,FT8
LU2IV,FT8
LU2MMR,WSPR
LU3BCM,WSPR
LU3DEG,FT8
LU4BBSWL,WSPR
LU3DEI,WSPR
LU3DJ,WSPR
LU3HO/M,WSPR
LU4AA,WSPR
LU4ECL,WSPR
LU4FDV,WSPR
LU4HK,WSPR
LU4RAD,FT8
LU4YLD,WSPR
LU5AG,WSPR
LU5CQC,WSPR
LU5ECK,FT8
LU5EPB,FT8
LU5FF,WSPR
LU5VV,WSPR
LU5YF,FT8
LU6FHO,FT8
LU7CRA,WSPR
LU7DID,WSPR
LU7DSU,WSPR
LU7EHR,FT8
LU7FIA,WSPR
LU7FMA,WSPR
LU7GFH,WSPR
LU7WA,WSPR
LU7YG,WSPR
LU7YS,FT8
LU8ADX,FT8
LU8DPV,WSPR
LU8DRH,FT8
LU8EFF,WSPR
LU8EJU,FT8
LU8FMR,FT8
LU8GMM,FT8
LU8YD,WSPR
LU9MHH,FT8
LU9WT,WSPR
LU9XT,WSPR
LW1DOW,FT8
LW1EAA,WSPR
LW1HBD,FT8
LW2EDM,WSPR
LW2EE,WSPR
LW2EE,FT8
LW3DSM,WSPR
LW6DLS,FT8
LW7DMB,FT8
LW7ESL,FT8
LW8DRU,WSPR
LW8EXS,WSPR
LW8EXS,FT8
LW9DCR,FT8
OA4AI,WSPR
OA4BLR,FT8
PU2KRL,WSPR
PU3VRW,WSPR
PU5IKE,FT8
PY2ZOT,WSPR
PY5JAP,FT8
PY5KC,WSPR
PY5XH,FT8
LU1MAW,WSPR
